Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh,Weather_Description,Work_Suitability,Flood_Risk
"Kota, Rajasthan",5/18/2024,39.8,22.58,1.850579594,6.83,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2/16/2024,36.86,64.5,7.338217367,12.15,Heavy Rainfall,No,High
"Indore, Madhya Pradesh",5/13/2024,38,54.39,1.723066231,24.97,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",2/14/2024,26.33,68.58,2.733319673,9.51,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",2/11/2024,28.21,43.53,2.072488126,6.45,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2/8/2024,30.08,88.48,3.85559241,15.12,Moderate Rainfall,Yes,Low
Delhi,2/1/2024,17.27,52.78,7.952817813,16.05,Heavy Rainfall,No,High
"Bengaluru, Karnataka",4/2/2024,11.95893884,40.42690481,5.676112997,2.672287015,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",4/27/2024,33.79,65.04,9.058983911,6.54,Heavy Rainfall,No,High
"Raipur, Chhattisgarh",5/5/2024,36.68,44.96,1.113297098,24.94,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",5/16/2024,35.22,55.44,9.163437606,18.87,Heavy Rainfall,No,High
"Noida, Uttar Pradesh",2/5/2024,15.73,30.01,4.459529751,6.3,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",4/8/2024,26.66,45.45,7.730034259,8.91,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",3/19/2024,32.12,46.39,0.032032485,16.64,Other,Yes,Low
"Kakinada, Andhra Pradesh",3/14/2024,25.67,61.88,8.837098632,25.59,Heavy Rainfall,No,High
"Jagdishpur, Uttar Pradesh",5/17/2024,24.29,48.22,7.691595886,20.72,Heavy Rainfall,No,High
"Bina, Madhya Pradesh",4/9/2024,28.93,42.69,4.722119744,18.82,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",1/18/2024,31.02,48.62,3.269200204,13.04,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",2/12/2024,26.06,66.87,8.630617034,5.32,Heavy Rainfall,No,High
"Kochi, Kerala",4/21/2024,25.89,79.15,0.516861603,10.62,Other,Yes,Low
"Kota, Rajasthan",3/5/2024,33.06,47.41,9.27650776,11.96,Heavy Rainfall,No,High
"Nagpur, Maharashtra",4/19/2024,27.18,52.25,6.066320947,20.89,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",1/22/2024,33.2,43.63,5.821977372,20.08,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",3/19/2024,33.52,52.76,4.649643446,8.08,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",4/10/2024,28.64,47.91,2.836441114,14.58,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",3/24/2024,33.72,63.05,1.558335067,13.57,Moderate Rainfall,Yes,Low
Delhi,1/14/2024,23.17,56.3,0.803966072,15.37,Clear,Yes,Low
"Bengaluru, Karnataka",4/13/2024,5.763065333,61.44801139,1.206712006,23.82855634,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",4/27/2024,34.36,78.69,4.535152636,5.59,Moderate Rainfall,Yes,High
"Raipur, Chhattisgarh",3/25/2024,28.71,49.68,0.938801675,9.92,Clear,Yes,Low
"Agra, Uttar Pradesh",1/6/2024,32.64,50.08,7.634571185,5.02,Heavy Rainfall,No,Low
"Noida, Uttar Pradesh",5/8/2024,17.49,53.64,8.203738766,13.97,Heavy Rainfall,No,High
"Hazira, Gujarat",3/4/2024,31.1,66.47,3.539803798,12.87,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2/8/2024,24.57,58.74,2.060092668,21.93,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",1/6/2024,26.74,65.72,7.985482718,14.23,Heavy Rainfall,No,Low
"Jagdishpur, Uttar Pradesh",1/6/2024,21.44,57.56,1.177652886,21.03,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",3/18/2024,35.36,48.5,2.164432408,13.1,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",3/28/2024,28.41,52.25,3.562763608,14.92,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",4/13/2024,16.66,59,3.560780905,3.71,Moderate Rainfall,Yes,Low
"Kochi, Kerala",3/16/2024,25.38,76.73,2.698527562,9.46,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",1/8/2024,41.05,33.64,6.226384894,8.28,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",4/3/2024,37.57,64.83,9.011731234,18.62,Heavy Rainfall,No,High
"Indore, Madhya Pradesh",2/22/2024,33.82,44.62,8.006805061,15.16,Heavy Rainfall,No,High
"Gandhar, Gujarat",1/25/2024,29.91,55.17,7.075503986,17.87,Heavy Rainfall,No,Low
"Jamnagar, Gujarat",1/30/2024,35.12,63.65,7.032038995,14.41,Heavy Rainfall,No,Low
"Mumbai, Maharashtra",3/23/2024,27.19,85.2,9.514876811,15.15,Heavy Rainfall,No,High
Delhi,5/3/2024,33.29,21.17,0.646312734,15.56,Clear,Yes,Low
"Bengaluru, Karnataka",4/5/2024,1.928088702,47.2190543,0.687809261,0.594653078,Clear,Yes,Low
"Chennai, Tamil Nadu",1/31/2024,36.08,60.05,1.611569536,9.37,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",3/23/2024,31.4,42.02,0.483712392,19.56,Clear,Yes,Low
"Agra, Uttar Pradesh",1/1/2024,26.61,53.22,2.350673953,16.33,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",1/16/2024,30.45,48.93,6.101121029,5.03,Moderate Rainfall,Yes,Low
"Hazira, Gujarat",4/1/2024,31.96,60.07,2.040433443,17.68,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",5/16/2024,33.52,35.32,8.668270803,25.91,Heavy Rainfall,No,High
"Kakinada, Andhra Pradesh",1/14/2024,32.73,62.12,3.574760877,21.89,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",5/6/2024,27.42,52.68,5.800791989,12.72,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",3/29/2024,29.3,58.61,2.135885782,14.08,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",5/12/2024,24.64,56.33,5.492144754,19.47,Moderate Rainfall,Yes,Low
"Pata, Uttar Pradesh",4/5/2024,20.92,50.54,9.852598649,4.2,Heavy Rainfall,No,High
"Kochi, Kerala",4/3/2024,28.49,70.41,4.559155825,10.42,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",1/21/2024,36.63,47.77,6.654236434,12.46,Moderate Rainfall,Yes,High
"Nagpur, Maharashtra",1/3/2024,32.32,41.83,2.291670524,19.98,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",3/23/2024,30.39,53.84,2.464356877,18.93,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",1/28/2024,32.1,62.23,4.557164065,18.82,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",1/12/2024,35.59,54.52,6.147167385,14.46,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",2/19/2024,32.82,65.36,3.227999652,19.63,Moderate Rainfall,Yes,Low
Delhi,3/13/2024,31.96,53.5,2.988412687,18.75,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",3/20/2024,-3.428836662,70.56687947,9.844360918,12.48762487,Heavy Rainfall,No,High
"Chennai, Tamil Nadu",1/11/2024,35.95,61.62,7.037113987,13.25,Heavy Rainfall,No,Low
"Raipur, Chhattisgarh",4/17/2024,37.74,41.32,6.320160618,23.13,Moderate Rainfall,Yes,High
"Agra, Uttar Pradesh",1/5/2024,34.33,50.29,2.074885855,16.34,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",1/20/2024,27.67,34.55,0.262789105,7.9,Clear,Yes,Low
"Hazira, Gujarat",4/19/2024,30.94,50.38,2.688971248,19.6,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",4/27/2024,28.82,35.75,1.850146038,16.9,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",3/9/2024,33.65,73.42,2.624781221,16.01,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",2/11/2024,25.73,48.38,1.197063589,19.55,Moderate Rainfall,Yes,Low
"Bina, Madhya Pradesh",1/11/2024,26.61,44.65,4.259917496,13.59,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",3/2/2024,27.26,55.46,9.318876409,16.93,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",2/16/2024,20.51,57.85,0.939295774,3.34,Other,Yes,Low
"Kochi, Kerala",1/9/2024,25.12,74.98,9.845844342,11.59,Heavy Rainfall,No,High
"Kota, Rajasthan",4/11/2024,39.02,38.62,5.407238014,5.01,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2/9/2024,29.92,62.92,5.311581444,23.68,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",2/23/2024,31.7,33.37,0.252919156,23.6,Other,Yes,Low
"Gandhar, Gujarat",5/7/2024,27.19,66.04,3.931055307,10.28,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",1/12/2024,23.64,47.7,0.965590952,6.32,Clear,Yes,Low
"Mumbai, Maharashtra",2/14/2024,28.83,74.48,3.748825083,18.45,Moderate Rainfall,Yes,Low
Delhi,1/21/2024,39.1,50.74,6.171265203,17.83,Moderate Rainfall,Yes,High
"Bengaluru, Karnataka",2/2/2024,22.49035163,65.66390297,3.493687896,14.25983014,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",5/7/2024,35.09,64.39,4.279766627,19.12,Moderate Rainfall,Yes,Low
"Raipur, Chhattisgarh",4/25/2024,21.48,60.74,4.525554841,12.17,Moderate Rainfall,Yes,High
"Agra, Uttar Pradesh",2/11/2024,29.86,48.1,4.463576236,7.82,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",5/11/2024,27.21,31.66,8.804365976,7.31,Heavy Rainfall,No,High
"Hazira, Gujarat",4/19/2024,35.61,69.55,8.321605338,6.45,Heavy Rainfall,No,High
"Vijaipur, Madhya Pradesh",1/17/2024,32.61,35.05,5.718487372,12.01,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",3/28/2024,33.06,62.75,3.910135047,13.82,Moderate Rainfall,Yes,Low
"Jagdishpur, Uttar Pradesh",1/26/2024,20.74,43.55,6.604995963,8.43,Moderate Rainfall,Yes,High
"Bina, Madhya Pradesh",3/25/2024,25.49,45.25,6.897139491,19.1,Moderate Rainfall,Yes,High
"Bijaipur, Madhya Pradesh",5/11/2024,36.87,35.21,8.996857416,22.91,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",3/21/2024,15.78,60.5,1.808698842,3.08,Moderate Rainfall,Yes,Low
"Kochi, Kerala",1/5/2024,26.98,72.17,1.019996436,9.73,Moderate Rainfall,Yes,Low
"Kota, Rajasthan",2/24/2024,34.96,21.19,5.724347453,6.91,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",3/29/2024,29.64,53.54,5.346423391,21.46,Moderate Rainfall,Yes,High
"Indore, Madhya Pradesh",2/3/2024,23.51,53.99,5.350690553,14.5,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",3/29/2024,33.51,62.63,5.921976019,16.54,Moderate Rainfall,Yes,High
"Jamnagar, Gujarat",2/10/2024,30.48,49.37,9.922323329,13.51,Heavy Rainfall,No,High
"Mumbai, Maharashtra",5/4/2024,32.84,71.8,6.90625086,21.47,Moderate Rainfall,Yes,Low
Delhi,4/28/2024,39.31,52.34,2.570482536,23.75,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",3/31/2024,19.04436125,74.44176232,9.507525559,22.42997879,Heavy Rainfall,No,High
"Chennai, Tamil Nadu",3/3/2024,28.79,84.57,6.49004231,9.24,Moderate Rainfall,Yes,High
"Raipur, Chhattisgarh",5/6/2024,27.06,33.94,1.029207677,14.3,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",3/24/2024,27.55,59.88,7.968584976,15.97,Heavy Rainfall,No,High
"Noida, Uttar Pradesh",3/30/2024,26.52,37.99,9.610420096,17.68,Heavy Rainfall,No,High
"Hazira, Gujarat",4/5/2024,25.76,64.34,1.270339603,13,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",2/27/2024,29.6,58.14,3.575072741,27.81,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",3/22/2024,31.26,82.46,7.942488037,15.63,Heavy Rainfall,No,High
"Jagdishpur, Uttar Pradesh",5/7/2024,35.19,47.92,9.958247423,8.05,Heavy Rainfall,No,High
"Bina, Madhya Pradesh",3/15/2024,33.28,43.06,5.424314463,19.23,Moderate Rainfall,Yes,Low
"Bijaipur, Madhya Pradesh",5/17/2024,33.16,41.48,7.830188071,26.14,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",2/5/2024,21.3,52.07,0.962648692,6.83,Other,Yes,Low
"Kochi, Kerala",3/4/2024,24.35,84.59,0.925388228,16.54,Clear,Yes,Low
"Kota, Rajasthan",4/25/2024,28.93,47.73,8.32715792,8.41,Heavy Rainfall,No,High
"Nagpur, Maharashtra",3/18/2024,28.27,42.84,5.970904138,18.9,Moderate Rainfall,Yes,Low
"Indore, Madhya Pradesh",1/17/2024,22.67,38.66,4.113672365,11.21,Moderate Rainfall,Yes,Low
"Gandhar, Gujarat",2/26/2024,27.45,50.91,7.108028822,10.53,Heavy Rainfall,No,Low
"Jamnagar, Gujarat",2/12/2024,37.58,57.7,3.916211288,15.91,Moderate Rainfall,Yes,Low
"Mumbai, Maharashtra",3/13/2024,26.56,67.1,5.967045565,23.27,Moderate Rainfall,Yes,Low
Delhi,2/27/2024,17.25,22.74,4.72485508,13.13,Moderate Rainfall,Yes,Low
"Bengaluru, Karnataka",3/23/2024,24.72306895,78.37473213,5.428988396,4.775756565,Moderate Rainfall,Yes,Low
"Chennai, Tamil Nadu",2/6/2024,33.38,80.24,9.743918975,18.75,Heavy Rainfall,No,High
"Raipur, Chhattisgarh",3/31/2024,20.35,44.37,2.923340248,20.57,Moderate Rainfall,Yes,Low
"Agra, Uttar Pradesh",1/3/2024,20.72,53.64,5.795466856,13.77,Moderate Rainfall,Yes,Low
"Noida, Uttar Pradesh",4/15/2024,17.17,46.31,7.185982673,8.51,Heavy Rainfall,No,High
"Hazira, Gujarat",3/6/2024,31.39,62.59,3.534260236,19.41,Moderate Rainfall,Yes,Low
"Vijaipur, Madhya Pradesh",3/28/2024,39.52,43.42,4.781891988,29.31,Moderate Rainfall,Yes,Low
"Kakinada, Andhra Pradesh",3/28/2024,29.93,78,7.233517305,29.62,Heavy Rainfall,No,High
"Jagdishpur, Uttar Pradesh",4/27/2024,19.8,46.45,7.039752424,8.38,Heavy Rainfall,No,Low
"Bina, Madhya Pradesh",2/19/2024,30.13,42.66,7.135213398,22.08,Heavy Rainfall,No,Low
"Bijaipur, Madhya Pradesh",3/10/2024,24.38,56.92,9.873864273,14.77,Heavy Rainfall,No,High
"Pata, Uttar Pradesh",1/21/2024,13.49,66.69,3.775872811,3.75,Moderate Rainfall,Yes,Low
"Kochi, Kerala",1/10/2024,30.91,81.24,0.419537878,6.16,Other,Yes,Low
"Kota, Rajasthan",1/31/2024,35.52,21.85,2.148358804,7.44,Moderate Rainfall,Yes,Low
"Nagpur, Maharashtra",2/23/2024,25.45,44.06,7.895958135,13.35,Heavy Rainfall,No,Low
"Indore, Madhya Pradesh",5/16/2024,22.32,30.07,6.882834635,12.55,Moderate Rainfall,Yes,High
"Gandhar, Gujarat",5/17/2024,35.4,50.82,6.29557498,16.97,Moderate Rainfall,Yes,Low
"Jamnagar, Gujarat",5/5/2024,28.15,49.76,2.933994217,8.57,Moderate Rainfall,Yes,Low
