Temperature,Wind speed,Rain in mm,Location,Work Suitability
20.3,8.3,97.7,Bangalore,No
33.4,9.8,18.3,Bangalore,Yes
22,14.1,58.5,Bangalore,No
16.5,7.7,98.7,Bangalore,No
42.52176191,32.33502687,78,Guwahati,No
36.74943694,67.21503787,91,Guwahati,No
33.2,2.9,69,Bangalore,No
31.2,11.2,35.5,Bangalore,No
19.3,13.7,80.7,Vijaipur,No
30.5,5.4,91.4,Bangalore,No
19.1,14.2,98.6,Vijaipur,No
31.8,4.9,62.8,Vijaipur,No
24.5,4.3,11.3,Bangalore,Yes
45.56389499,35.08973226,77.9,Guwahati,No
17.3,8.9,82.8,Bangalore,No
28.8,3.6,34.6,Vijaipur,No
28.6,13.4,0.3,Vijaipur,Yes
34.9,12.4,70.8,Bangalore,No
17.9,8.6,52.1,Bangalore,No
31,13.4,18.3,Vijaipur,Yes
48.61960196,62.15579152,32.3,Vijaipur,No
34.4,13.9,94.5,Guwahati,No
37.63401405,58.93716333,78.6,Vijaipur,No
43.31223893,62.10418619,76.1,Vijaipur,No
24.3,6.4,93,Vijaipur,No
26.8,5.7,94.6,Vijaipur,No
15.5,5.8,30.5,Guwahati,No
16.7,13.5,57.7,Bangalore,No
40.10715335,63.30448728,70.1,Vijaipur,No
34.6,3.2,43.4,Bangalore,No
25.6,11.6,7.5,Vijaipur,Yes
30.7,7,72.2,Bangalore,No
25.9,3.4,24.5,Vijaipur,No
38.75068436,25.37640042,46.4,Bangalore,No
26.4,4.8,99.6,Bangalore,No
38.98045004,80.17447287,85.2,Bangalore,No
27.5,3.2,2.2,Bangalore,Yes
29,4.8,8.4,Bangalore,Yes
17,12.9,2.1,Bangalore,No
17.7,9.9,36.7,Bangalore,No
26,13.7,41.1,Bangalore,No
20.1,11.7,40,Vijaipur,No
34.9,12.9,35.7,Vijaipur,No
30,10,13.3,Bangalore,Yes
27.6,9.4,2.5,Bangalore,Yes
28.7,6,67.7,Vijaipur,No
25.9,5,72.8,Guwahati,No
27.2,6.1,28.1,Vijaipur,No
35.9091076,60.49209451,25.9,Bangalore,No
32,3.2,23,Vijaipur,No
39.42820759,89.73954503,52.6,Guwahati,No
16.9,9.3,47.9,Vijaipur,No
20.2,14,85.2,Guwahati,No
30.6,14.3,49.6,Vijaipur,No
30.5,3.6,55.8,Bangalore,No
29.4,13.1,19.2,Bangalore,Yes
23.2,4.2,56.1,Vijaipur,No
48.63454512,46.46510984,30.1,Vijaipur,No
30.2,12.9,96.2,Bangalore,No
24.5,13.4,37.4,Guwahati,No
26.3,2.1,35.4,Bangalore,No
19.1,13.5,94.5,Guwahati,No
42.62290853,77.75129353,63,Guwahati,No
17.8,1.8,92,Bangalore,No
32.9,10,19,Guwahati,Yes
28.8,2,92.7,Guwahati,No
48.56955519,28.37407107,59.4,Vijaipur,No
25.2,6.7,91.2,Vijaipur,No
36.75939438,63.70649115,29.8,Vijaipur,No
30.9,1,77.8,Guwahati,No
28.5,10.2,31.2,Guwahati,No
47.67906968,78.53604427,40.3,Vijaipur,No
25.6,11.9,89.8,Guwahati,No
20,1.9,12.9,Guwahati,Yes
22.6,4,2.8,Guwahati,Yes
26.4,12.3,95,Guwahati,No
17.8,12.5,2.2,Guwahati,No
35.56419724,33.38920606,68.2,Vijaipur,No
26.7,2,61.2,Vijaipur,No
22.8,12.8,36.1,Bangalore,No
31.3,5.5,26.3,Guwahati,No
24.5,14.8,77.1,Vijaipur,No
29.4,14.2,54.3,Vijaipur,No
34.8,14.8,0.8,Vijaipur,Yes
20.4,10.2,71.7,Bangalore,No
26.9,2,36.9,Guwahati,No
17.5,7.8,16.4,Bangalore,No
25.4,7.2,28.8,Vijaipur,No
27.7,3.9,10.4,Guwahati,Yes
22.8,9.2,96.4,Guwahati,No
17.7,8.2,6.1,Vijaipur,No
27.7,8.1,97.7,Bangalore,No
30.5,9.6,52.5,Guwahati,No
18.7,10.7,19.7,Guwahati,Yes
41.95136647,77.34997686,100,Guwahati,No
21.5,10.2,88.5,Bangalore,No
18.1,4.2,95.3,Vijaipur,No
33.7,5.5,95.9,Bangalore,No
19.6,10.6,33.3,Vijaipur,No
36.85143401,26.53659456,93.7,Bangalore,No
15.9,11.8,33.3,Bangalore,No
27.6,7.2,11.3,Bangalore,Yes
26.1,7.8,84.4,Vijaipur,No
20.2,11.7,34.5,Bangalore,No
20.6,6.2,84.3,Guwahati,No
17.5,3.9,65.2,Bangalore,No
45.53107345,90.44452215,67.6,Bangalore,No
21.1,9.4,38.8,Vijaipur,No
19.8,7.7,61.9,Guwahati,No
36.37827926,82.21309242,66.3,Guwahati,No
28.6,8.5,38.1,Vijaipur,No
47.61520179,38.3793348,70.2,Vijaipur,No
20.1,4.2,29.4,Guwahati,No
19.2,4.6,92.7,Bangalore,No
27.8,5.6,15.3,Guwahati,Yes
25.2,5.4,12.3,Guwahati,Yes
15.8,2.8,11.6,Vijaipur,No
33.1,14,54.8,Guwahati,No
19,12.4,0.8,Guwahati,Yes
45.45726245,47.09293158,57.6,Bangalore,No
26.2,10.8,83.9,Guwahati,No
35.4598312,58.57462156,44.5,Guwahati,No
41.00739879,42.62379622,36.1,Vijaipur,No
27.5,8.5,50.3,Guwahati,No
44.02133281,40.43561838,30.1,Bangalore,No
40.64088509,85.04413256,32.9,Bangalore,No
46.21654216,37.9270642,35.7,Guwahati,No
29.2,10.8,58.1,Vijaipur,No
33.6,7.2,21.2,Vijaipur,No
19.3,8,93.4,Vijaipur,No
27.4,10.5,42.6,Vijaipur,No
23.1,6.4,68.6,Vijaipur,No
26.7,6.2,38.7,Guwahati,No
16.4,1.7,58.5,Guwahati,No
18.3,13.2,17,Vijaipur,Yes
29.7,8.6,44,Bangalore,No
30.6,13.3,67,Guwahati,No
21.6,9.5,78.8,Bangalore,No
27.2,9.7,74.1,Vijaipur,No
22.4,6.7,22.2,Vijaipur,No
18.8,8.1,27.9,Bangalore,No
20.6,7.3,93.3,Vijaipur,No
33.3,6.3,55.9,Bangalore,No
22.2,14.3,52.9,Vijaipur,No
18.7,10.3,6,Bangalore,Yes
20.2,4.8,49.3,Vijaipur,No
35.39943125,60.73786011,55.7,Guwahati,No
38.60372751,39.7164371,58.4,Guwahati,No
26.7,2.5,16.1,Vijaipur,Yes
27.3,2.1,2.5,Vijaipur,Yes
16.7,2.5,43,Guwahati,No
24.7,3.6,0.6,Bangalore,Yes
21.3,1.5,82.3,Vijaipur,No
23.3,2.7,13.9,Bangalore,Yes
37.14618462,88.00479304,65.6,Vijaipur,No
33.9,3.5,94.9,Guwahati,No
47.7880466,65.25003593,32,Bangalore,No
44.64820028,26.19832306,28.2,Vijaipur,No
23.8,5.8,31,Bangalore,No
22.4,3.3,14.6,Bangalore,Yes
19.8,6.6,13.8,Bangalore,Yes
30.7,13.3,33.4,Bangalore,No
18.9,2.6,67.5,Bangalore,No
17,14.6,12.8,Guwahati,No
20.8,2.1,83.9,Vijaipur,No
25.4,1.3,6.3,Bangalore,Yes
47.07701573,81.87507906,68.5,Guwahati,No
32.8,3.2,78.9,Bangalore,No
26.6,4.3,86.9,Guwahati,No
41.42852921,74.56362381,99.6,Bangalore,No
27.3,5,74.7,Vijaipur,No
34.5,7.3,6.7,Guwahati,Yes
22.4,12.1,8.2,Guwahati,Yes
21.5,11.2,81.1,Guwahati,No
43.79799413,98.27880551,37.5,Bangalore,No
36.96791777,33.53145313,45.5,Vijaipur,No
17.9,11.5,11.2,Guwahati,No
23.6,12.6,56.5,Bangalore,No
15.4,6.6,65.1,Guwahati,No
22.1,11.1,37.4,Vijaipur,No
33.7,13.1,87.1,Guwahati,No
38.87709855,99.71919328,54.5,Guwahati,No
22.9,12.7,50.5,Bangalore,No
28.5,1.9,79,Bangalore,No
30.8,3,2,Guwahati,Yes
15.4,5.5,25,Bangalore,No
33.3,5.3,92,Guwahati,No
21.4,7.1,96.8,Guwahati,No
33.7,7.2,44.9,Guwahati,No
38.6912733,33.86475998,31.5,Guwahati,No
19.3,6,16.8,Vijaipur,Yes
44.2550176,70.06049573,24.3,Bangalore,No
44.82509365,53.66463865,47.3,Vijaipur,No
36.36360625,45.38030599,12.8,Guwahati,No
48.98878551,33.81389287,94,Vijaipur,No
32.5,4.6,64,Vijaipur,No
30.9,12.4,21.2,Vijaipur,No
45.19871782,67.65282339,58.2,Guwahati,No
31.7,9.4,96.5,Vijaipur,No
18.6,8.8,2.1,Bangalore,Yes
25.1,12.9,19.9,Vijaipur,Yes
31.1,6.8,29.9,Vijaipur,No
29.2,2,88.9,Guwahati,No
25.6,5.9,17.8,Guwahati,Yes
23.4,5.5,43.5,Bangalore,No
17.5,13.8,5.8,Guwahati,No
